country_code,short_name,table_name,long_name,two_alpha_code,special_notes,wb_two_code,currency_unit,system_of_national_accounts,latest_population_census,region,income_group,national_accounts_base_year,sna_price_valuation,system_of_trade,vital_registration_complete,lending_category,balance_of_payments_manual_in_use,government_accounting_concept,imf_data_dissemination_standard,latest_trade_data,latest_household_survey,latest_agricultural_census,latest_industrial_data,latest_water_withdrawal_data,source_of_most_recent_income_and_expenditure_data,national_accounts_reference_year,other_groups,external_debt_reporting_status,alternative_conversion_factor,ppp_survey_year
UZB,Uzbekistan,Uzbekistan,Republic of Uzbekistan,UZ,<NULL>,UZ,Uzbek sum,Country uses the 1993 System of National Accounts methodology.,1989,Europe & Central Asia,Lower middle income,Original chained constant price data are rescaled.,Value added at basic prices (VAB),General trade system,Yes,Blend,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,<NULL>,"Multiple Indicator Cluster Survey (MICS), 2006",<NULL>,<NULL>,2005,"Expenditure survey/budget survey (ES/BS), 2011",1997.0,<NULL>,Actual,1990–95,<NULL>
PNG,Papua New Guinea,Papua New Guinea,The Independent State of Papua New Guinea,PG,<NULL>,PG,Papua New Guinea kina,Country uses the 1993 System of National Accounts methodology.,2011,East Asia & Pacific,Lower middle income,1998,Value added at producer prices (VAP),General trade system,<NULL>,Blend,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Living Standards Measurement Study Survey (LSMS), 1996",<NULL>,<NULL>,2005,"Integrated household survey (IHS), 2009/10",<NULL>,<NULL>,Actual,1989,<NULL>
TLS,Timor-Leste,Timor-Leste,Democratic Republic of Timor-Leste,TL,"Based on official government statistics, national account data have been revised, and value added is measured at basic prices; the new base year is 2010.",TP,U.S. dollar,Country uses the 2008 System of National Accounts methodology.,2010,East Asia & Pacific,Lower middle income,2010,Value added at basic prices (VAB),Special trade system,<NULL>,Blend,<NULL>,<NULL>,General Data Dissemination System (GDDS),2005,"Demographic and Health Survey (DHS), 2009/10",2010. Population and Housing Census.,<NULL>,2004,"Living Standards Measurement Study Survey (LSMS), 2007",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
PSE,West Bank and Gaza,West Bank and Gaza,West Bank and Gaza,PS,<NULL>,GZ,Israeli new shekel,Country uses the 1968 System of National Accounts methodology.,2007,Middle East & North Africa,Lower middle income,2004,Value added at basic prices (VAB),Special trade system,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,Special Data Dissemination Standard (SDDS),<NULL>,"Multiple Indicator Cluster Survey (MICS), 2010",<NULL>,2010,2005,"Integrated household survey (IHS), 2009",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
WSM,Samoa,Samoa,Samoa,WS,Fiscal year ends on June 30; reporting period for national accounts data: FY. Data are revised from Samoa Bureau of Statistics and Central Bank of Samoa.,WS,Samoan tala,Country uses the 1993 System of National Accounts methodology.,2011,East Asia & Pacific,Lower middle income,2002,Value added at basic prices (VAB),Special trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2009",2009,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,Actual,<NULL>,<NULL>
SSD,South Sudan,South Sudan,Republic of South Sudan,SS,"South Sudan declared its independence on July 9, 2011. Data are shown separately for South Sudan where available. However, data reported for Sudan include South Sudan unless otherwise noted. Though limited data are available in the WDI database for South Sudan, additional data are available from South Sudan's National Bureau of Statistics (http://ssnbs.org/).",SS,South Sudanese Pound,Country uses the 1993 System of National Accounts methodology.,2008,Sub-Saharan Africa,Lower middle income,2009,<NULL>,<NULL>,<NULL>,IDA,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,"Expenditure survey/budget survey (ES/BS), 2009",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
GUY,Guyana,Guyana,Co-operative Republic of Guyana,GY,"In 2010, the Bureau of Statistics introduced a new series of GDP rebased to year 2006. Current price GDP averaged 63 percent higher than previous estimates.",GY,Guyana dollar,Country uses the 1993 System of National Accounts methodology.,2012,Latin America & Caribbean,Lower middle income,2006,Value added at basic prices (VAB),Special trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2009",<NULL>,<NULL>,2000,"Integrated household survey (IHS), 1998",<NULL>,HIPC,Actual,<NULL>,<NULL>
SLV,El Salvador,El Salvador,Republic of El Salvador,SV,<NULL>,SV,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2007,Latin America & Caribbean,Lower middle income,1990,Value added at basic prices (VAB),Special trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Reproductive Health Survey (RHS), 2008",2007/2008,<NULL>,2007,"Integrated household survey (IHS), 2012",<NULL>,<NULL>,Actual,<NULL>,<NULL>
HND,Honduras,Honduras,Republic of Honduras,HN,<NULL>,HN,Honduran lempira,Country uses the 1993 System of National Accounts methodology.,2013,Latin America & Caribbean,Lower middle income,2000,Value added at basic prices (VAB),Special trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2011/12",2013,<NULL>,2006,"Integrated household survey (IHS), 2010",<NULL>,HIPC,Actual,1988–89,<NULL>
GTM,Guatemala,Guatemala,Republic of Guatemala,GT,<NULL>,GT,Guatemalan quetzal,Country uses the 1993 System of National Accounts methodology.,2002,Latin America & Caribbean,Lower middle income,2001,Value added at basic prices (VAB),Special trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Reproductive Health Survey (RHS), 2008/09",2013,<NULL>,2006,"Living Standards Measurement Study Survey (LSMS), 2011",<NULL>,<NULL>,Estimate,<NULL>,<NULL>
FSM,Micronesia,"Micronesia, Fed. Sts.",Federated States of Micronesia,FM,"Fiscal year ends on September 30; reporting period for national accounts data: FY. Based on the Pacific and Virgin Islands Training Initiative, national accounts data have been revised from 2009 onward. 2013 estimates are based on the IMF Small States Monitor, Issue 1.2014. In 2010, the government statistical office revised national accounts data for 1995-2008.",FM,U.S. dollar,Country uses the 1993 System of National Accounts methodology.,2010,East Asia & Pacific,Lower middle income,2004,Value added at basic prices (VAB),<NULL>,<NULL>,IDA,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,"Integrated household survey (IHS), 2000",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
XKX,Kosovo,Kosovo,Republic of Kosovo,<NULL>,"Kosovo became a World Bank member on June 29, 2009. Since 1999, Kosovo has been a territory under international administration pursuant to UN Security Council Resolution 1244 (1999).",KV,Euro,Country uses the 1993 System of National Accounts methodology.,2011,Europe & Central Asia,Lower middle income,2008,Value added at basic prices (VAB),<NULL>,<NULL>,IDA,<NULL>,<NULL>,General Data Dissemination System (GDDS),<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,"Integrated household survey (IHS), 2011",<NULL>,<NULL>,Actual,<NULL>,<NULL>
VUT,Vanuatu,Vanuatu,Republic of Vanuatu,VU,"Based on official government statistics, value added is measured at producer prices through 1997 and at basic prices from 1998 onward.",VU,Vanuatu vatu,Country uses the 1993 System of National Accounts methodology.,2009,East Asia & Pacific,Lower middle income,2006,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2007",2007,<NULL>,<NULL>,2013 national accounts estimates are based on IMF reports.,<NULL>,<NULL>,Estimate,<NULL>,<NULL>
NIC,Nicaragua,Nicaragua,Republic of Nicaragua,NI,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1994 onward; the base year changed to 2006.",NI,Nicaraguan gold cordoba,Country uses the 1993 System of National Accounts methodology.,2005,Latin America & Caribbean,Lower middle income,2006,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Reproductive Health Survey (RHS), 2006/2007",2011,<NULL>,2001,"Living Standards Measurement Study Survey (LSMS), 2009",<NULL>,HIPC,Actual,1965–95,<NULL>
KIR,Kiribati,Kiribati,Republic of Kiribati,KI,"Based on IMF and World Bank data, GDP in current and constant prices have been revised from 2000 onward. Value added components are calculated using shares from the Asian Development Bank.",KI,Australian dollar,Country uses the 1993 System of National Accounts methodology.,2010,East Asia & Pacific,Lower middle income,2006,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
SLB,Solomon Islands,Solomon Islands,Solomon Islands,SB,National accounts data have been revised from 2007 to 2013 based on IMF reports.,SB,Solomon Islands dollar,Country uses the 1993 System of National Accounts methodology.,2009,East Asia & Pacific,Lower middle income,2004,Value added at basic prices (VAB),Special trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),2012,<NULL>,2012/13,<NULL>,<NULL>,"Integrated household survey (IHS), 2005/06",<NULL>,<NULL>,Actual,<NULL>,<NULL>
DMA,Dominica,Dominica,Commonwealth of Dominica,DM,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",DM,East Caribbean dollar,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,Upper middle income,2006,Value added at basic prices (VAB),Special trade system,Yes,Blend,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,2004,<NULL>,<NULL>,<NULL>,Actual,<NULL>,<NULL>
TKM,Turkmenistan,Turkmenistan,Turkmenistan,TM,"On January 1, 2009, the Turkmen manat was redenominated (1 new manat = 5,000 old manats).",TM,New Turkmen manat,Country uses the 1993 System of National Accounts methodology.,2012,Europe & Central Asia,Upper middle income,2005,Value added at basic prices (VAB),General trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",<NULL>,<NULL>,2000,"Multiple Indicator Cluster Survey (MICS), 2011",<NULL>,<NULL>,2004,"Living Standards Measurement Study Survey (LSMS), 1998",<NULL>,<NULL>,Estimate,"1987–95, 1997–2007",<NULL>
LCA,St. Lucia,St. Lucia,St. Lucia,LC,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",LC,East Caribbean dollar,Country uses the 1968 System of National Accounts methodology.,2010,Latin America & Caribbean,Upper middle income,2006,Value added at basic prices (VAB),Special trade system,Yes,Blend,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2012",2007,<NULL>,2005,"Integrated household survey (IHS), 1995",<NULL>,<NULL>,Actual,<NULL>,<NULL>
GRD,Grenada,Grenada,Grenada,GD,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",GD,East Caribbean dollar,Country uses the 1968 System of National Accounts methodology.,2011,Latin America & Caribbean,Upper middle income,2006,Value added at basic prices (VAB),Special trade system,Yes,Blend,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2009,"Reproductive Health Survey (RHS), 1985",2012,<NULL>,2005,<NULL>,<NULL>,<NULL>,Actual,<NULL>,<NULL>
VCT,St. Vincent and the Grenadines,St. Vincent and the Grenadines,St. Vincent and the Grenadines,VC,"April 2012 database update: Based on official government statistics, national accounts data were revised for 2000 onward; the base year changed to 2006.",VC,East Caribbean dollar,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,Upper middle income,2006,Value added at basic prices (VAB),Special trade system,Yes,Blend,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,1995,<NULL>,<NULL>,<NULL>,Actual,<NULL>,<NULL>
PAN,Panama,Panama,Republic of Panama,PA,<NULL>,PA,Panamanian balboa,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,Upper middle income,2007,Value added at basic prices (VAB),Special trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2011,"Living Standards Measurement Study Survey (LSMS), 2008",2011,2001,2000,"Integrated household survey (IHS), 2011",<NULL>,<NULL>,Actual,<NULL>,<NULL>
LBY,Libya,Libya,Socialist People's Libyan Arab Jamahiriya,LY,National accounts data are revised from 2010 to 2013 based on IMF and World Bank staff estimates.,LY,Libyan dinar,Country uses the 1993 System of National Accounts methodology.,2006,Middle East & North Africa,Upper middle income,1999,Value added at basic prices (VAB),General trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),2010,<NULL>,2013/2014,<NULL>,2000,<NULL>,<NULL>,<NULL>,<NULL>,1986,<NULL>
DOM,Dominican Republic,Dominican Republic,Dominican Republic,DO,<NULL>,DO,Dominican peso,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,Upper middle income,1991,Value added at basic prices (VAB),General trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2012,"Demographic and Health Survey (DHS), 2013",2012/13,<NULL>,2005,"Integrated household survey (IHS), 2012",<NULL>,<NULL>,Actual,<NULL>,<NULL>
CUB,Cuba,Cuba,Republic of Cuba,CU,<NULL>,CU,Cuban peso,Country uses the 1993 System of National Accounts methodology.,2012,Latin America & Caribbean,Upper middle income,2005,Value added at basic prices (VAB),Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,2006,"Multiple Indicator Cluster Survey (MICS), 2010/11",<NULL>,<NULL>,2007,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
PLW,Palau,Palau,Republic of Palau,PW,Fiscal year ends on September 30; reporting period for national accounts data: FY. National accounts data are revised based on IMF reports.,PW,U.S. dollar,Country uses the 1993 System of National Accounts methodology.,2010,East Asia & Pacific,Upper middle income,2005,Value added at basic prices (VAB),Special trade system,Yes,IBRD,<NULL>,<NULL>,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
TON,Tonga,Tonga,Kingdom of Tonga,TO,"Fiscal year ends on June 30; reporting period for national accounts data: FY. April 2013 database update: Based on data from the National Bureau of Statistics, national accounts data were revised; the base year changed to 2010/11.",TO,Tongan pa'anga,Country uses the 1993 System of National Accounts methodology.,2006,East Asia & Pacific,Upper middle income,2010/11,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,<NULL>,2013 national accounts estimates are based on IMF reports.,<NULL>,<NULL>,Actual,<NULL>,<NULL>
BLZ,Belize,Belize,Belize,BZ,<NULL>,BZ,Belize dollar,Country uses the 1993 System of National Accounts methodology.,2010,Latin America & Caribbean,Upper middle income,2000,Value added at basic prices (VAB),General trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2011",<NULL>,<NULL>,2000,"Expenditure survey/budget survey (ES/BS), 2011",<NULL>,<NULL>,Actual,<NULL>,<NULL>
SUR,Suriname,Suriname,Republic of Suriname,SR,<NULL>,SR,Suriname dollar,Country uses the 1993 System of National Accounts methodology.,2012,Latin America & Caribbean,Upper middle income,2007,Value added at basic prices (VAB),General trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2011,"Multiple Indicator Cluster Survey (MICS), 2010",2008,<NULL>,2000,"Expenditure survey/budget survey (ES/BS), 1999",<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
DZA,Algeria,Algeria,People's Democratic Republic of Algeria,DZ,<NULL>,DZ,Algerian dinar,Country uses the 1968 System of National Accounts methodology.,2008,Middle East & North Africa,Upper middle income,1980,Value added at basic prices (VAB),Special trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2012",<NULL>,<NULL>,2001,"Integrated household survey (IHS), 1995",<NULL>,<NULL>,Actual,<NULL>,<NULL>
MHL,Marshall Islands,Marshall Islands,Republic of the Marshall Islands,MH,Fiscal year ends on September 30; reporting period for national accounts data: FY.,MH,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2011,East Asia & Pacific,Upper middle income,2004,Value added at basic prices (VAB),General trade system,<NULL>,IDA,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2011. Population and Housing Census.,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
TUV,Tuvalu,Tuvalu,Tuvalu,TV,"Based on data from the IMF, World Bank and government official statistics, national accounts data have been revised from 2006 onward. Value added is measured at producer prices up to 1999 and at basic prices from 2000 onward.",TV,Australian dollar,Country uses the 1968 System of National Accounts methodology.,2012,East Asia & Pacific,Upper middle income,2005,Value added at basic prices (VAB),General trade system,<NULL>,IDA,<NULL>,<NULL>,General Data Dissemination System (GDDS),2008,<NULL>,<NULL>,<NULL>,<NULL>,2013 national accounts estimates are based on IMF reports.,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
JAM,Jamaica,Jamaica,Jamaica,JM,"April 2013 database update: Based on official government statistics, national accounts data were revised for 2002 onward; the base year changed to 2007.",JM,Jamaican dollar,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,Upper middle income,2007,Value added at basic prices (VAB),General trade system,<NULL>,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2011",2007,<NULL>,1993,"Living Standards Measurement Study Survey (LSMS), 2010",<NULL>,<NULL>,Actual,<NULL>,<NULL>
CRI,Costa Rica,Costa Rica,Republic of Costa Rica,CR,<NULL>,CR,Costa Rican colon,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,Upper middle income,1991,Value added at basic prices (VAB),Special trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2011",2014,2010,1997,"Integrated household survey (IHS), 2012",<NULL>,<NULL>,Actual,<NULL>,<NULL>
SYC,Seychelles,Seychelles,Republic of Seychelles,SC,"April 2013 database update: Based on official government statistics, national accounts data were revised for 1976 onward; the base year changed to 2006.",SC,Seychelles rupee,Country uses the 1993 System of National Accounts methodology.,2010,Sub-Saharan Africa,Upper middle income,2006,Value added at producer prices (VAP),General trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2008,<NULL>,2011,<NULL>,2005,"Budget survey (BS), 2006/07",<NULL>,<NULL>,Actual,<NULL>,<NULL>
ASM,American Samoa,American Samoa,American Samoa,AS,<NULL>,AS,U.S. dollar,Country uses the 1968 System of National Accounts methodology.,2010,East Asia & Pacific,Upper middle income,<NULL>,<NULL>,Special trade system,Yes,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2007,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>
URY,Uruguay,Uruguay,Oriental Republic of Uruguay,UY,"In 2011, the Central Bank revised national accounts data for 2006 onward.",UY,Uruguayan peso,Country uses the 1993 System of National Accounts methodology.,2011,Latin America & Caribbean,High income: nonOECD,2005,Value added at basic prices (VAB),General trade system,Yes,IBRD,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2012",2011,2008,2000,"Integrated household survey (IHS), 2012",<NULL>,<NULL>,<NULL>,<NULL>,2005
GNQ,Equatorial Guinea,Equatorial Guinea,Republic of Equatorial Guinea,GQ,National accounts have been revised from 1980 onward based on official government data; the new base year is 2006.,GQ,CFA franc,Country uses the 1968 System of National Accounts methodology.,2002,Sub-Saharan Africa,High income: nonOECD,2006,Value added at basic prices (VAB),General trade system,<NULL>,IBRD,<NULL>,Budgetary central government,<NULL>,<NULL>,"Demographic and Health Survey (DHS), 2011",<NULL>,<NULL>,2000,"Priority survey (PS), 2006",<NULL>,<NULL>,<NULL>,1965–84,2005
KWT,Kuwait,Kuwait,State of Kuwait,KW,Fiscal year end: June 30; reporting period for national accounts data: CY.,KW,Kuwaiti dinar,Country uses the 1968 System of National Accounts methodology.,2011,Middle East & North Africa,High income: nonOECD,1995,Value added at producer prices (VAP),Special trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2009,"Family Health Survey (FHS), 1996",<NULL>,2010,2002,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
OMN,Oman,Oman,Sultanate of Oman,OM,<NULL>,OM,Rial Omani,Country uses the 1993 System of National Accounts methodology.,2010,Middle East & North Africa,High income: nonOECD,1988,Value added at producer prices (VAP),General trade system,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2012",2012/ 2013,2010,2003,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
SAU,Saudi Arabia,Saudi Arabia,Kingdom of Saudi Arabia,SA,<NULL>,SA,Saudi Arabian riyal,Country uses the 1993 System of National Accounts methodology.,2010,Middle East & North Africa,High income: nonOECD,1999,Value added at producer prices (VAP),Special trade system,<NULL>,<NULL>,"IMF Balance of Payments Manual, 6th edition.",<NULL>,General Data Dissemination System (GDDS),2011,"Demographic survey, 2007",2010,2006,2006,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
HKG,"Hong Kong SAR, China","Hong Kong SAR, China",Hong Kong Special Administrative Region of the People's Republic of China,HK,"On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China. Agriculture value added includes mining and quarrying.",HK,Hong Kong dollar,Country uses the 2008 System of National Accounts methodology.,"2011. The population censuses for 1986 and 1996 were based on a one-in-seven sample of the population, while that for 2006 was based on a one-in-ten sample of the population.",East Asia & Pacific,High income: nonOECD,Original chained constant price data are rescaled.,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,Special Data Dissemination Standard (SDDS),2012,<NULL>,<NULL>,2010,<NULL>,<NULL>,2012.0,<NULL>,<NULL>,<NULL>,2005
BHR,Bahrain,Bahrain,Kingdom of Bahrain,BH,<NULL>,BH,Bahraini dinar,Country uses the 1968 System of National Accounts methodology.,2010,Middle East & North Africa,High income: nonOECD,1985,Value added at producer prices (VAP),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2011,<NULL>,<NULL>,<NULL>,2003,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
QAT,Qatar,Qatar,State of Qatar,QA,<NULL>,QA,Qatari riyal,Country uses the 1993 System of National Accounts methodology.,2010,Middle East & North Africa,High income: nonOECD,2001,Value added at producer prices (VAP),Special trade system,Yes,<NULL>,<NULL>,Budgetary central government,General Data Dissemination System (GDDS),2012,"Multiple Indicator Cluster Survey (MICS), 2012",<NULL>,2010,2005,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
MAC,"Macao SAR, China","Macao SAR, China",Macao Special Administrative Region of the People's Republic of China,MO,"On 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",MO,Macao pataca,Country uses the 1993 System of National Accounts methodology.,2011,East Asia & Pacific,High income: nonOECD,2012,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,2010,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
SGP,Singapore,Singapore,Republic of Singapore,SG,Fiscal year end: March 31; reporting period for national accounts data: CY. Country reports using a blend of SNA 1993 and SNA 2008. April 2012 database update: National accounts time series were replaced with official government statistics.,SG,Singapore dollar,Country uses the 2008 System of National Accounts methodology.,2010,East Asia & Pacific,High income: nonOECD,2010,Value added at basic prices (VAB),General trade system,Yes,<NULL>,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,Special Data Dissemination Standard (SDDS),2012,"National Health Survey (NHS), 2010",<NULL>,2010,1975,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
BRN,Brunei,Brunei Darussalam,Brunei Darussalam,BN,<NULL>,BN,Brunei dollar,Country uses the 1993 System of National Accounts methodology.,2011,East Asia & Pacific,High income: nonOECD,2000,Value added at producer prices (VAP),Special trade system,Yes,<NULL>,<NULL>,<NULL>,General Data Dissemination System (GDDS),2012,<NULL>,<NULL>,<NULL>,1994,<NULL>,<NULL>,<NULL>,<NULL>,<NULL>,2005
GIN,Guinea,Guinea,Republic of Guinea,GN,<NULL>,GN,Guinean franc,Country uses the 1993 System of National Accounts methodology.,1996,Sub-Saharan Africa,Low income,2003,Value added at basic prices (VAB),Special trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2012",<NULL>,<NULL>,2001,"Core Welfare Indicator Questionnaire Survey (CWIQ), 2012",<NULL>,HIPC,Estimate,<NULL>,2005
TJK,Tajikistan,Tajikistan,Republic of Tajikistan,TJ,<NULL>,TJ,Tajik somoni,Country uses the 1993 System of National Accounts methodology.,2010,Europe & Central Asia,Low income,Original chained constant price data are rescaled.,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Consolidated central government,General Data Dissemination System (GDDS),2000,"Demographic and Health Survey (DHS), 2012",2013,<NULL>,2006,"Living Standards Measurement Study Survey (LSMS), 2009",2000.0,<NULL>,Actual,1990–95,2005
KEN,Kenya,Kenya,Republic of Kenya,KE,Fiscal year end: June 30; reporting period for national accounts data: CY.,KE,Kenyan shilling,Country uses the 1993 System of National Accounts methodology.,2009,Sub-Saharan Africa,Low income,2001,Value added at basic prices (VAB),General trade system,<NULL>,IDA,"IMF Balance of Payments Manual, 6th edition.",Budgetary central government,General Data Dissemination System (GDDS),2010,"Malaria Indicator Survey (MIS), 2010; HIV/Maternal and Child Health (HIV/MCH) Service Provision Assessments (SPA), 2010",2009. Population and Housing Census.,2010,2003,"Integrated household survey (IHS), 2005/06",<NULL>,<NULL>,Actual,<NULL>,2005
